CifId,GroundTruth,Predicted,Error
PENZIS_clean,422.75284,365.55157,57.201263
OSUGUG_clean,241.23186,298.4079,57.17604
ZIKCED_clean,260.65765,317.6883,57.03064
VICLAW_clean,256.11798,313.05313,56.93515
BIRSEC_clean,364.42422,420.8871,56.46286
ELERIX01_clean,412.9182,356.54343,56.374786
ECIYEU_clean,307.21558,363.37833,56.16275
TISGUY_clean,248.18892,304.26727,56.078354
DAHWAM_clean,422.0146,366.02127,55.993317
TAMHUM_clean,92.384155,148.34863,55.964478
IZENUY_clean,471.81915,416.0517,55.767456
VASFED_clean,468.07034,412.45572,55.614624
HADQUA_clean,251.47563,307.06448,55.588852
FIZPOV_clean,351.13235,406.1765,55.04416
CUKXOW_clean,455.5515,400.5909,54.9606
YUNJEX_clean,217.57411,272.47437,54.900253
IGETUL_clean,577.0605,522.48834,54.572144
VUQJUN_clean,483.17703,428.6374,54.539642
OTAQAD_clean,367.74918,422.11966,54.370483
NUVWEH_clean,343.38202,289.24387,54.138153
KUMJIN_clean,504.77902,450.68906,54.089966
UWALEL_clean,230.36609,284.3651,53.999023
SOTXEG_neutral,523.23816,469.31964,53.918518
AHEQAH_clean,433.97437,380.17947,53.79489
IKETIC_clean,325.1938,378.76126,53.567474
ECIWIW_clean,389.4026,335.91113,53.491455
DOTFID_clean,243.11136,296.56567,53.454315
UJUQIB_clean,282.4398,335.87308,53.43329
PEDMER_clean,593.65137,540.22833,53.423035
OSAWEL_clean,245.02864,298.1397,53.11107
GEVYEN_clean,388.2832,335.3475,52.9357
WUDTIA_clean,500.0,447.1469,52.85309
ROYREE_clean,299.36078,246.69052,52.670258
TIKXER_clean,407.16263,354.66672,52.49591
HEDBEZ_clean,374.7682,427.2045,52.43631
FUNBAS_clean,463.48782,411.2478,52.24002
ADAXEK_clean,305.56403,357.79333,52.22931
ZOXVEP_clean,258.6716,310.8859,52.214294
QUHMOX_clean,491.3262,439.14334,52.18286
GAKBAX_clean,420.94507,369.14075,51.80432
ABEXIQ_clean,341.94116,393.6809,51.739746
NAJTEA_clean,319.33054,371.0682,51.73767
MUTDEM_clean,443.2908,391.56717,51.723633
BUCVIG_clean,358.1767,409.85605,51.67935
GUMBIA_clean,236.63367,288.28104,51.64737
QEJYIP_clean,254.79372,305.8718,51.07808
IGIZEF_clean,253.57513,304.6241,51.04898
DARJUD_clean,451.30832,400.2756,51.032715
DEJCIF_clean,226.66667,277.68573,51.01906
EBOBIJ_clean,344.63913,293.83737,50.801758
DAWCIP_clean,461.02692,410.35767,50.66925
XASNUD_clean,409.24023,358.80313,50.437103
VEWKUF_clean,390.64368,441.0448,50.401123
VUKTIG_clean,491.40665,441.0471,50.35956
ZEJCUO_clean,501.86334,451.5091,50.354248
BEPVEZ_clean,430.31784,380.0321,50.285736
YUQNAB_clean,254.25487,304.5067,50.251846
JUGQOT_clean,464.34753,414.27686,50.07068
QEKLID01_clean,310.72806,360.78995,50.06189
YOYPOT_clean,348.37186,398.40442,50.032562
ZALMIL_clean,335.78848,385.59607,49.807587
NAWXER_clean,479.18152,429.40677,49.77475
TEYHIP_charged,267.67407,317.21344,49.539368
FEHCIG_manual,528.91254,479.37656,49.53598
AGONAM_clean,347.12695,297.81708,49.309875
LUYSEF_clean,409.26086,360.05484,49.206024
COTVIS_clean,349.1297,398.25336,49.123657
LIKDOA_clean,247.34172,296.3686,49.02687
XUYXAR_clean,354.57065,403.51993,48.94928
WUPZUE_clean,234.31691,283.17105,48.85414
XOTSEG_clean,447.27884,398.43283,48.84601
WUSLED_clean,458.4396,409.61914,48.820465
TIRRIW_clean,481.95172,433.14532,48.806396
WIFBAQ_clean,253.1439,301.931,48.787094
AJAMEF_clean,357.7447,308.9842,48.760498
ZEBMAW_clean,497.9656,449.25577,48.70984
HIFVOI_clean,447.13416,398.5755,48.558655
HUYJUG_clean,153.85677,202.26384,48.407074
GUXSIC_clean,362.39368,410.68878,48.295105
HUZYAE_clean,236.0513,284.34195,48.29065
KOGYIP_clean,237.64706,285.8101,48.163025
FIRPAZ_clean,276.85648,324.9451,48.088623
CIVTEH_clean,260.2968,308.17795,47.881134
CAVMOD_clean,453.2855,405.6341,47.651398
CUCTAX_clean,267.55594,315.10562,47.549683
FUTKEL_manual,318.6262,366.0995,47.473297
MIKJAR_clean,370.60938,323.147,47.46237
IDORIE_clean,356.04984,308.85834,47.191498
ELERIY_clean,336.52206,289.4484,47.07367
ITIXAM_clean,459.85638,412.8045,47.05188
RAYLOU_clean,409.4947,362.4795,47.015198
WOSHET_clean,455.78174,408.7995,46.98224
HOWQOA_clean,259.7891,306.76044,46.971344
REYCEF_clean,450.73312,403.78485,46.948273
VERPOZ_clean,161.47548,114.63632,46.839157
GOQTIR_clean,421.59863,374.78928,46.809357
FAKGOP_clean,416.53098,369.76923,46.76175
CISMEY_clean,401.29105,354.538,46.75305
HAWWOT_clean,308.66733,355.36374,46.69641
KAJZIH_clean,345.6727,299.0011,46.6716
AVESUR_clean,381.18372,334.63815,46.545563
IZERAI_clean,426.96732,380.48618,46.48114
NATHUO_clean,266.06076,312.50946,46.4487
PUGHUW_clean,449.2856,402.9593,46.326324
WENLEI_clean,434.7303,388.5185,46.211792
YUBFOR_clean,242.41135,288.26355,45.852203
NANNAU_clean,289.61356,335.37283,45.759277
FUYKER_clean,313.4128,359.13565,45.72284
JIYXUL_clean,219.84784,174.22003,45.627808
ETEKEU_clean,167.25769,212.85153,45.59384
DAPBED_clean,360.5923,315.04126,45.551025
GIZVER_clean,490.49557,444.94775,45.54782
NIJTOR_clean,245.48572,291.01608,45.530365
ACAKUM_clean,401.02222,355.5085,45.513702
VERZID_clean,271.84445,317.3471,45.502655
ZOZKAC_clean,454.5698,409.11676,45.453033
NUFBUN_clean,431.52753,386.18234,45.345184
GARQAU_clean,435.6829,390.35727,45.325623
AHOKOX_clean,533.97003,488.71545,45.254578
VETSOE_charged,498.22653,452.97842,45.248108
IQOHUT_clean,258.08936,303.30612,45.216766
KEFWAV_clean,276.8081,322.01245,45.204346
AZAVOO_clean,469.67084,424.5156,45.155243
ATUXUK_clean,468.96384,423.8881,45.075745
QOSXOM_clean,558.64374,513.6742,44.969543
GEFYUN_clean,392.16568,347.2271,44.93857
ZOZKEG_clean,474.99988,430.20673,44.79315
WOWBER_clean,380.4778,425.23102,44.753204
GUPJEG01_clean,463.92783,419.17694,44.750885
KETHEY02_clean,422.82803,378.11087,44.717163
PASNAA_clean,438.1159,393.50488,44.611023
NEYJIM_clean,191.32321,235.8353,44.512085
NANNEY_clean,289.61356,334.0827,44.469147
VIXZUZ_clean,445.6595,401.37848,44.281006
TADCAE_clean,273.532,317.59433,44.062317
SAQZOB_clean,373.20578,329.1663,44.03949
TEYLIU_clean,342.50165,386.4842,43.982544
DARBUU_clean,282.2054,326.01385,43.80844
BEKSAM_clean,443.06223,399.28473,43.777496
FUFTUX_clean,312.94217,356.71793,43.775757
UVAROZ_clean,437.7751,394.05908,43.716003
QUQFOY_clean,478.69592,435.0291,43.66681
FOVPUD_clean,249.99072,293.6082,43.617462
OTUXUX_clean,352.96252,309.3651,43.597412
CADZIT_clean,362.0687,318.51166,43.557037
VUKSOL_clean,286.083,329.63876,43.555756
ORAGOF_clean,478.40192,434.9544,43.44751
EZEQUX_clean,526.3081,482.89764,43.41046
ILENOC_clean,303.6301,260.23993,43.390167
KUCDOD_clean,441.31598,398.07663,43.23935
DUDKOE_clean,345.7301,388.8488,43.118683
UVASAM_clean,428.96487,386.04623,42.91864
CELZIE_SL,444.0434,401.3025,42.740906
LOCZIO_clean,264.88177,307.52954,42.647766
MUTDIQ_clean,453.0411,410.39716,42.64395
OCUQOT_clean,394.20267,351.58905,42.613617
GEGGEG01_clean,335.0,377.49274,42.492737
POSGEL_clean,417.459,374.98645,42.472565
HOGQEB_clean,476.74692,434.44174,42.305176
IDAGUR_clean,279.6583,321.94174,42.283447
TEWFUY_clean,215.05406,257.18134,42.127274
IJEXUR_clean,210.07112,252.14568,42.074554
SONTIZ_clean,165.94206,208.0089,42.066833
MIFKUJ_clean,461.61176,419.61035,42.001404
OXAMIK_clean,270.50168,312.4743,41.972626
MAKHAK_clean,435.29968,393.3417,41.957977
BUVHEH_clean,585.85236,544.0538,41.798584
ADODUU_clean,352.90747,394.63144,41.72397
QEBKUF_SL,420.1154,461.82895,41.713562
UVARIT_clean,436.2831,394.58023,41.70288
JOQZUM_clean,304.00125,345.6066,41.605347
VUQKAU_clean,466.13403,424.6084,41.525635
REJLEY_clean,326.8523,368.28555,41.433258
AGOFEJ_clean,278.64853,320.03098,41.382446
XOVXAI_clean,266.58014,307.75674,41.176605
VASFIH_clean,482.00012,440.87112,41.128998
SEHSII_clean,521.5469,480.4466,41.10028
PATNAB_clean,212.36372,253.45358,41.08986
LEYLUX_clean,194.2907,235.31195,41.021255
XOCWOD_clean,464.4505,423.48657,40.96393
KOXGIP_clean,265.27762,306.22433,40.946716
BOWNUY_clean,183.51326,224.45049,40.937225
WEVZUT_clean,379.49838,338.5639,40.93448
KUVYAD_clean,407.11594,366.28128,40.834656
GUHNUU_clean,258.859,218.03691,40.822098
HOJLUP_clean,289.28745,330.06073,40.773285
XAFBEN_clean,381.44684,340.68817,40.758667
ESARUN_clean,316.82428,357.5431,40.71881
XALMII_clean,303.49838,344.08676,40.58838
WUSGOI_clean,245.98427,286.55545,40.571182
USORUR_clean,427.771,387.2233,40.5477
NOFQOQ_clean,294.8718,335.4123,40.540497
EYULOA_clean,283.25125,323.75323,40.501984
LUFQUZ02_clean,247.5061,287.98825,40.482147
AQAJEI_clean,405.70255,365.24072,40.461823
CAKFIF_clean,426.77942,386.3464,40.433014
KAKBUW_clean,546.4021,586.79504,40.392944
OGURAK_charged,260.37308,300.73178,40.358704
HOBGOV_clean,374.6471,334.31427,40.332825
JUKNUA_clean,421.77206,381.62207,40.149994
JEXXAM_clean,212.90764,253.04184,40.1342
ALANAD_clean,434.1972,394.11804,40.079163
LACGAZ_clean,424.7731,384.817,39.956116
ERUNIQ_clean,372.83368,412.7866,39.95291
FATKIV_clean,247.11597,207.19989,39.916077
TETWOG_clean,338.0022,377.91473,39.912537
NARPOO_clean,359.58694,399.48605,39.89911
SONTAR_manual,166.55058,206.43338,39.882797
IQEWOQ_clean,344.29047,304.43048,39.859985
POSFOU_clean,379.77646,339.9527,39.82376
NAVFUM_clean,406.02838,366.38055,39.647827
QOKCID_clean,470.9746,431.3819,39.592712
XAGPUT_clean,276.11105,236.5271,39.583954
MUSSIE_clean,366.40277,326.87207,39.5307
MATFIY_clean,252.24379,291.72687,39.483078
UKUCAF_clean,333.0016,372.45895,39.457367
GARMAQ_clean,431.28946,391.8755,39.41397
OLONAG_clean,317.1019,356.4425,39.340607
ZILBIH_clean,439.52213,400.18878,39.333344
POSGAH_clean,269.44446,308.68335,39.23889
FUNCAT_clean,349.7188,388.91907,39.200256
DAWWIJ_clean,407.98404,368.80685,39.177185
DUXMAL_clean,437.77615,398.60657,39.169586
EQUBIC_clean,564.4345,525.2877,39.14679
OVIDON_clean,265.69577,304.7788,39.08304
VUKHOZ_clean,278.4236,317.30966,38.886047
DADNUU_clean,453.60547,414.76282,38.84265
ZOXFEZ_clean,417.54254,378.7775,38.765045
AVIMIC_clean,471.74524,433.07956,38.66568
UDOVOA_clean,426.61716,387.98734,38.62982
GAJZIC_clean,287.46127,326.06445,38.60318
XUCSOF_clean,327.33612,365.91483,38.578705
UZUNAF01_clean,243.44447,281.9984,38.55394
YOZJEE_clean,296.35266,334.88867,38.53601
FAMHAE_clean,220.08923,258.58615,38.496918
QEZZEC_clean,567.14795,528.71814,38.42981
YOBYAR_clean,443.35178,404.9772,38.374573
DUJRAD_clean,353.33835,314.96478,38.373566
NUHRAL_clean,504.0086,465.6606,38.347992
QADWUQ_clean,384.98535,346.7835,38.201843
YUKVEG_clean,266.42422,304.6081,38.18387
EJUVOU_clean,422.65573,384.4852,38.170532
LUFQUZ01_clean,247.5061,285.6252,38.11911
WAHNEB_clean,358.64612,320.5764,38.069733
KIDXUR_clean,342.4338,380.44794,38.01413
SOXDEQ_clean,424.7819,386.7867,37.99518
PEJNUP_clean,360.89474,322.90833,37.98642
ZALDUO_clean,249.2004,287.18054,37.98015
UZUNAF_clean,243.44447,281.4085,37.964035
CIZMIJ_clean,318.85297,356.40875,37.555786
KUGCOF_clean,264.90192,302.4265,37.524597
EWESAC_clean,321.61484,284.1954,37.419434
ADODAA_charged,249.0444,286.46152,37.417114
ZUTBIB_clean,439.8233,402.59546,37.227844
VEJHID_clean,267.54572,304.75046,37.204742
LALFUB_clean,229.47638,266.67798,37.2016
SANHUN_clean,331.87607,368.60452,36.728455
CAVREY_clean,427.4556,390.7342,36.721405
ASADAA_clean,378.33112,341.65564,36.675476
DUPKAC_clean,440.89996,404.2786,36.62137
POHLUV_clean,467.17554,430.56384,36.611694
QUSCEN_clean,272.18045,308.78204,36.601593
HOZDIL_clean,563.4284,526.95544,36.47296
NUWBOX_clean,384.42624,347.96814,36.4581
ZIKJOU_clean,303.6228,267.23804,36.384766
EQEROJ_clean,391.80588,355.46774,36.338135
WEDXEK_clean,244.41176,280.7058,36.294052
TIGQOR_clean,491.79227,455.61517,36.177094
KOMJIH_clean,372.56387,336.52335,36.040527
XENMIO_SL,473.96347,437.94348,36.01999
MULXOH_clean,430.48108,394.56628,35.914795
EQEREY_clean,467.37894,431.4801,35.898834
IBUBIT_clean,298.72052,334.61487,35.89435
GARLIX_clean,434.84555,398.982,35.863556
SODQOT_clean,188.89029,224.71074,35.82045
BUSQUC_clean,340.16382,304.41425,35.749573
PUFXUL_clean,387.33145,351.62863,35.70282
BOPWIO_clean,443.03397,407.3985,35.635468
NUCYER_clean,383.7303,348.09546,35.634827
HAWREE_clean,191.81287,227.29276,35.47989
MAHCEG_clean,330.3399,365.79547,35.455566
AXUDII04_clean,267.33276,302.78583,35.453064
TIGQUX_clean,508.85477,473.50034,35.35443
SANHIB_clean,457.64014,422.30762,35.33252
ELEROD_clean,386.6843,351.36542,35.31888
XOQXOR_SL,429.2512,393.93442,35.316772
QIRYAS_clean,367.11407,402.42395,35.309875
QIPROY_clean,341.57904,376.88004,35.300995
LUMZEA_clean,228.71776,263.97922,35.26146
LUWYUY_clean,276.85703,311.98526,35.128235
KIYMIP_clean,248.54446,283.5542,35.009735
HARNAR_clean,277.4381,312.42282,34.98471
TIXMIX_clean,262.83075,297.78394,34.953186
KOJZEP_manual,285.78012,320.731,34.950867
ROQVIE_clean,513.3299,478.43817,34.891724
BEPBAB_clean,322.2958,357.16678,34.87097
EYINOR_clean,254.87453,289.72034,34.84581
YOZYOD_clean,424.89847,390.05283,34.845642
ARAFOP_clean,259.08096,293.86868,34.78772
KEWZET_clean,413.57187,378.80014,34.77173
GIFFAE_clean,402.5197,437.1576,34.63788
IXEJOL_clean,392.08734,357.4561,34.631256
PUQYAC_clean,481.45026,447.02527,34.424988
WOJZIG_clean,548.9167,514.49524,34.421448
RAHNOF_clean,307.81433,273.4505,34.36383
ERULEK_clean,347.37735,381.721,34.34366
ANEHEI_clean,436.72348,402.40115,34.322327
VURLIF_clean,418.49237,384.19614,34.296234
PETVER_clean,330.24377,364.53333,34.28955
OBUFIB_SL,247.88957,282.1621,34.272537
YOYPEJ_clean,432.26447,398.08545,34.179016
YUHHIU_clean,284.49695,318.65,34.153046
VOCQAF_clean,294.61548,328.75168,34.1362
VUCTUK_clean,362.7826,328.69147,34.091125
GARLUJ_clean,402.51498,368.55527,33.959717
BOLPAU_clean,414.7777,380.8466,33.93112
IRELAU_clean,350.6705,384.58124,33.910736
NAHFOU_clean,251.3962,285.18457,33.788376
LULVOF_clean,341.8966,375.65134,33.75473
OZUMIH_clean,236.85408,270.57715,33.72307
PIBGAK_clean,256.8075,290.50653,33.699036
RUWWOW_clean,403.89868,370.2198,33.678894
GUJREK_clean,264.48315,298.01624,33.53308
FITJEY_clean,416.2581,382.7442,33.513885
RUWWOW01_clean,403.89868,370.39062,33.508057
MAKFOW_clean,457.83603,491.34222,33.506195
OTIQAL_clean,332.24014,298.7793,33.460846
XISXEE_clean,354.1079,387.56772,33.45981
YITHIU01_clean,286.66537,320.09488,33.429504
DADNII_clean,462.81314,429.38647,33.426666
XULRIH_clean,455.65933,422.23358,33.42575
ATEYED_clean,260.17593,293.58722,33.411285
FAMHAE01_clean,220.08923,253.48438,33.39514
JUNBOL_clean,396.14294,362.75467,33.388275
DOZCEC_clean,317.25662,350.5596,33.30298
ZOZPUB_clean,260.6475,293.94284,33.29535
HAZGOF06_clean_h,539.09485,505.8833,33.211548
QOVSOL_clean,315.31577,348.47253,33.15677
FIRNAX01_clean,330.6818,363.82376,33.141968
CIMTEZ_charged,329.51425,362.65103,33.13678
ESANET_clean,361.88065,328.82333,33.057312
YOYWEQ01_clean,380.31628,413.3469,33.03061
ILIMUN_clean,500.45087,467.58545,32.865417
XEGKOL_clean,367.27588,334.42377,32.85211
QISKIN_clean,278.7669,311.55774,32.790833
CELZEA_clean,356.8282,389.57178,32.74359
ARUCUN_clean,366.9,399.59665,32.696655
GAGSUF_clean,176.66588,143.9946,32.67128
FUSQUH_clean,405.47736,372.82404,32.65332
EBAVUB_clean,398.03027,365.3966,32.633667
ALAHUS_clean,488.08945,455.46588,32.623566
SANHOH_clean,343.9257,376.49628,32.570587
XEVVUQ_clean,264.1817,296.71848,32.536774
YEGDAR_clean,397.204,364.6694,32.534607
EZIPEK_clean,461.39334,428.86002,32.533325
DANROC_clean,223.2954,255.78725,32.49185
OCUMOR_clean,294.0038,326.4817,32.477875
MAXHEA_clean,445.867,413.4534,32.413605
NELVEG_clean,444.20642,411.8302,32.37622
NIRGAY_clean,324.0249,356.36282,32.33792
YEMMAF_clean,482.2014,449.94104,32.260345
SEVLEM_clean,428.97983,396.7262,32.25363
VIXTUT_clean,262.84033,294.95255,32.112213
MAPLEX_clean,295.29407,327.3999,32.105835
HENYUV_clean,466.87955,434.80942,32.07013
POSFIO_clean,264.17197,296.20386,32.03189
IDAGOL_clean,284.72867,316.74738,32.018707
YELYOE_clean,320.894,352.88644,31.992432
NANMAS_charged,383.0903,351.14832,31.941986
HUCXEK_clean,551.2649,519.3744,31.890503
ZOZHON_clean,359.19952,391.06775,31.868225
AMOYOR_clean,326.1069,294.24036,31.866547
AZAWAB_clean,290.3467,322.19733,31.850616
VITYOO_clean,406.33475,438.15558,31.820831
KIFXOO_clean,264.03406,295.85464,31.820587
NELVAC_clean,403.74893,371.932,31.816925
KATDAM_clean,248.11378,279.87616,31.762375
IGAGAA_clean,343.2903,375.04807,31.757751
KIYMEM_clean,386.65704,418.40652,31.749481
RUGPEQ_clean,330.2371,361.97888,31.74179
ALAMUW_clean,295.29858,327.0346,31.736023
YUKVAC_clean,228.94308,260.67474,31.731659
NAHHAI_clean,274.67474,306.39587,31.72113
BUGSOM_clean,404.0915,372.41125,31.680237
GAVYAG_clean,307.45566,339.10455,31.648895
VOPCIO_clean,196.70752,228.25063,31.543106
XEGJIE_clean,313.69485,345.16293,31.468079
KUMBOL_clean,504.77902,473.3726,31.406433
BIRSIG_clean,427.8595,396.48306,31.376434
XOCWIX_clean,390.59665,421.96808,31.37143
GUWDUY_clean,350.3454,381.70322,31.357819
